ID,실거래명,동,시군구코드,K-apt코드,K-apt명,실거래준공,K-apt준공,년도차이,세대수,주소,검증결과,비고
11921,"대풍푸른들","원종동",41196,A42120004,"대풍푸른들",2008,,2008,68,"경기도 부천오정구 원종동 67-5 대풍푸른들",검토필요,
11984,"서광아침의빛","박달동",41171,A43003005,"서광아침의빛",2007,,2007,62,"경기도 안양만안구 박달동 57-7 서광아침의빛",검토필요,
12085,"신일해피트리","관양동",41173,A43106008,"신일해피트리",2007,,2007,80,"경기도 안양동안구 관양동 1455 신일해피트리",검토필요,
12556,"동일파크스위트","삼성동",11680,A13509015,"동일파크스위트",2007,,2007,36,"서울특별시 강남구 삼성동 100-14 동일파크스위트",검토필요,
11242,"우리빌","수진동",41131,A46118001,"우리빌주상복합",2005,,2005,84,"경기도 성남수정구 수진동 2965 우리빌주상복합",검토필요,
12092,"한울네세창","망우동",11260,A13123004,"한울네세창",2005,,2005,55,"서울특별시 중랑구 망우동 579 한울네세창",검토필요,
12225,"짜임","박달동",41171,A43003006,"세창짜임",2005,,2005,70,"경기도 안양만안구 박달동 64-1 세창짜임",검토필요,
12234,"대안탐스빌산마루","안양동",41171,A43073101,"대안탐스빌산마루",2005,,2005,65,"경기도 안양만안구 안양동 398-35 대안탐스빌산마루",검토필요,
12530,"우장산휴먼빌","화곡동",11500,A15701005,"우장산휴먼빌",2005,,2005,62,"서울특별시 강서구 화곡동 1156 우장산휴먼빌",검토필요,
11803,"침산메트로","침산동",27230,A70205005,"침산메트로",2003,,2003,96,"대구광역시 북구 침산동 430-2 침산메트로",검토필요,
11551,"수산오성","내발산동",11500,A15728014,"수산오성",2002,,2002,85,"서울특별시 강서구 내발산동 721-3 수산오성",검토필요,
12387,"부미아띠랑스힐","봉천동",11620,A15105007,"부미아띠랑스힐",2002,,2002,53,"서울특별시 관악구 봉천동 1715 부미아띠랑스힐",검토필요,
11432,"대치효성","대치동",11680,A13528008,"대치효성",1999,,1999,83,"서울특별시 강남구 대치동 988-4 대치효성",검토필요,
12229,"일신강변","면목동",11260,A13175101,"일신강변",1999,,1999,62,"서울특별시 중랑구 면목동 1520 일신강변",검토필요,
11532,"동보","오류동",11530,A15278201,"동보",1998,,1998,90,"서울특별시 구로구 오류동 337 동보",검토필요,
11700,"갑을","봉천동",11620,A15176603,"봉천갑을",1998,,1998,95,"서울특별시 관악구 봉천동 1700 봉천갑을",검토필요,
12249,"극동옥정","옥수동",11200,A13375909,"극동옥정",1998,,1998,72,"서울특별시 성동구 옥수동 557 극동옥정",검토필요,
10835,"한울2","율량동",43114,A36071607,"한울2차",1996,,1996,96,"충청북도 청주청원구 율량동 724-1 한울2차",검토필요,
11238,"성원","둔촌동",11740,A13406007,"둔촌성원",1995,,1995,74,"서울특별시 강동구 둔촌동 613 둔촌성원",검토필요,
11887,"명일진로","명일동",11740,A13478602,"명일진로",1994,,1994,68,"서울특별시 강동구 명일동 47-12 명일진로",검토필요,
12346,"경남무지개","함양읍 용평리",48870,A67680105,"경남무지개",1994,,1994,35,"경상남도 함양군 함양읍 용평리 595-3 경남무지개",검토필요,
11654,"경원","신내동",11260,A13178102,"경원",1989,,1989,80,"서울특별시 중랑구 신내동 449-1 경원",검토필요,
